id, title
kuAHIxI1QVI, "Oh Jesus , You make my Life so sweet...Arabic Christian Song (Lyrics @ CC)"
U7bmiWM9CM8, "Vagues de conversion en Islam : Des musulmans découvrent la Vérité sur Jésus-Christ"
RVNdgnHWq7I, "La véritable conversion à Dieu : au delà de toute religion - Ils témoignent"
nGrkhSxS_zU, Come to Me all you weary...Lovely Arabic Christian Song..Mary George from Egypt ( Subtitles)
5HnpaZ9E3jg, Jesus set me free.(Harranii Yasou') :: Arabic Christian song (English)
RNuFWKqfFuk, Magnifique Chant Oriental Chrétien français-arabe
3sbKQw4kYoc, chant oriental chrétien magnifique
2LP5PWx-g7o, Magnifique chanson d'amour orientale en arabe
OSFavGDEyIw, Une chanson d'amour magnifique en arabe
Z18G0k5dbFs, Above all Farsi Persian Christian song Dariush & Marya موسيقي مسيحي فارسی
W1zFXkXX4NA, Pensy - Yeshu Mere Jaan (Hindi Gospel song)Jesus is my life
nID2GsIgN90,  How Great Thou Art! Lyrics in Hindi and English
kLnesjexMNA, No Longer Slaves Farsi-Perisan | Dariush & Marya | موسيقي مسيحي | داریوش و ماریا| دیگر برده نیستم
RWKMSNg7URs, My life is yours(Love Story) :: Arabic Christian Song-Middle East (Subtitles@CC)
iSaawaUdz0U, Lettre d'amour du Père - Mohamed de Marseille
https://www.facebook.com/aplv.ffl/videos/1244424062333088/, Chant chrétien arabe par Fadia Bazzi (sous titré en français)
